Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
648c24e47023a2ee550d3549,5c871ab7de75d4001602869d,APPROVED,2023-06-16T09:01:28.645000Z,2023-06-16T09:21:29.391000Z,2023-06-16T09:21:30.018000,2023-06-16T09:21:29.929922Z,1201,C14AO3VL,1653,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
648c24fb9d023c2854029ea9,5b216d7dc33f820001a2e1ef,APPROVED,2023-06-16T09:01:52.298000Z,2023-06-16T09:13:35.101000Z,2023-06-16T09:13:36.038000,2023-06-16T09:13:35.968512Z,703,C14AO3VL,831,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
648c252124d9ec05e67f4b40,5b653f0e3662a8000158b83b,APPROVED,2023-06-16T09:02:30.267000Z,2023-06-16T09:13:42.703000Z,2023-06-16T09:13:43.183000,2023-06-16T09:13:43.199567Z,673,C14AO3VL,276,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
648c25724efedc79da9a6609,587a40cfd22a5800014c5ad1,APPROVED,2023-06-16T09:03:52.042000Z,2023-06-16T09:22:03.942000Z,2023-06-16T09:22:04.487000,2023-06-16T09:22:04.423724Z,1092,C14AO3VL,96,71,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
648c25d2ce69842972cd33ff,5e08ed25dc265f1e36179f52,APPROVED,2023-06-16T09:05:32.072000Z,2023-06-16T09:19:33.336000Z,2023-06-16T09:19:34.033000,2023-06-16T09:19:33.942149Z,842,C14AO3VL,14,31,Female,DATA_EXPIRED,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
648c25fdaab3345a5b81e151,5e07c976f6191f137214e91f,APPROVED,2023-06-16T09:06:21.489000Z,2023-06-16T09:53:24.789000Z,2023-06-16T09:53:25.424000,2023-06-16T09:53:25.348856Z,2824,C14AO3VL,1165,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
648c264aafb700720bc95c0d,56b88bf7e1d0a2000b145037,APPROVED,2023-06-16T09:07:31.514000Z,2023-06-16T09:21:46.675000Z,2023-06-16T09:21:47.337000,2023-06-16T09:21:47.275793Z,856,C14AO3VL,796,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
648c266da98a3d7f79658821,5ebcb35ca857831117df7c04,APPROVED,2023-06-16T09:08:02.504000Z,2023-06-16T09:21:10.818000Z,2023-06-16T09:21:11.402000,2023-06-16T09:21:11.300784Z,789,C14AO3VL,492,24,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
648c26a06ed2ab2660ebfffd,5ecd22e76997ec03464c71aa,APPROVED,2023-06-16T09:08:53.017000Z,2023-06-16T09:23:25.348000Z,2023-06-16T09:23:26.670000,2023-06-16T09:23:26.579083Z,873,C14AO3VL,1413,57,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
648c26c93099256ddf71ff5d,5d03d07ff00f5100014d1204,APPROVED,2023-06-16T09:09:29.117000Z,2023-06-16T09:23:04.910000Z,2023-06-16T09:23:05.531000,2023-06-16T09:23:05.470740Z,816,C14AO3VL,1012,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
648c26cea1c8fe4ea9382366,5b6dbc7d3c02310001e8eb1f,APPROVED,2023-06-16T09:09:43.127000Z,2023-06-16T09:21:51.589000Z,2023-06-16T09:21:52.102000,2023-06-16T09:21:52.038115Z,729,C14AO3VL,317,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED
648c26ea89b2b00bb860dc26,57754d57ca706f000190eaf1,APPROVED,2023-06-16T09:10:06.872000Z,2023-06-16T09:22:03.552000Z,2023-06-16T09:22:04.146000,2023-06-16T09:22:04.067895Z,717,C14AO3VL,2609,38,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
648c26fe140a8232a36f44f8,5f61ba7cfdaccd165da6985b,APPROVED,2023-06-16T09:10:22.192000Z,2023-06-16T09:33:11.903000Z,2023-06-16T09:33:12.479000,2023-06-16T09:33:12.419894Z,1370,C14AO3VL,565,45,Male,Asian,New Zealand,New Zealand,New Zealand,English,DATA_EXPIRED,DATA_EXPIRED
648c272e5d355142bb48a6b6,63d14e0eb3f244e8d5f88f48,APPROVED,2023-06-16T09:11:31.934000Z,2023-06-16T09:56:49.139000Z,2023-06-16T09:56:52.359000,2023-06-16T09:56:52.291121Z,2718,C14AO3VL,442,29,Male,Black,Nigeria,United States,Nigeria,English,Yes,Full-Time
648c2752db9b1ae09d272fde,648174282bcdf5119b9105ca,APPROVED,2023-06-16T09:12:07.740000Z,2023-06-16T09:26:17.073000Z,2023-06-16T09:26:17.723000,2023-06-16T09:26:17.631612Z,850,C14AO3VL,5,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
648c275a4ef28794bdebffde,59de02265de9b000017ec12e,APPROVED,2023-06-16T09:11:59.765000Z,2023-06-16T09:26:15.074000Z,2023-06-16T09:26:15.803000,2023-06-16T09:26:15.734885Z,856,C14AO3VL,113,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
648c279fd19de1472c60dc3e,60c9b0886e03c28f26d97b19,APPROVED,2023-06-16T09:13:07.048000Z,2023-06-16T09:25:27.187000Z,2023-06-16T09:25:27.774000,2023-06-16T09:25:27.693666Z,741,C14AO3VL,521,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
