participant,age_prolific,sex_prolific,nationality_prolific,language_prolific,native_languages_qual,other_languages_qual,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,FJ_test.keys,FJ_test.rt
5a0c036857cee70001767a200,,,,,,,93,testing_3,j2x,i,j2x_i,j2x_1_iji.wav,j2x_1_iji.wav,,TRUE,FALSE,,,f,0.2578
5a0c036857cee70001767a201,,,,,,,24,testing_2,zh2x,ei,zh2x_ei,zh2x_8_eixei.wav,zh2x_1_eizhei.wav,,FALSE,FALSE,,,j,0.0841
5a0c036857cee70001767a202,,,,,,,140,testing_3,sh2j,ei,sh2j_ei,sh2j_8_eijei.wav,sh2j_1_eishei.wav,,FALSE,FALSE,,,j,0.0847
5a0c036857cee70001767a203,,,,,,,77,testing_3,j2x,ai,j2x_ai,j2x_1_aijai.wav,j2x_1_aijai.wav,,TRUE,FALSE,,,f,0.1607
5a0c036857cee70001767a204,,,,,,,76,testing_3,j2x,a,j2x_a,j2x_8_axa.wav,j2x_1_aja.wav,,FALSE,FALSE,,,j,0.0507
5a0c036857cee70001767a205,,,,,,,114,testing_3,sh2x,ei,sh2x_ei,sh2x_8_eixei.wav,sh2x_8_eixei.wav,,TRUE,FALSE,,,f,0.1851
5a0c036857cee70001767a206,,,,,,,54,testing_3,zh2j,ai,zh2j_ai,zh2j_8_aijai.wav,zh2j_8_aijai.wav,,TRUE,FALSE,,,f,0.2531
5a0c036857cee70001767a207,,,,,,,102,testing_3,sh2x,ai,sh2x_ai,sh2x_8_aixai.wav,sh2x_8_aixai.wav,,TRUE,FALSE,,,f,0.0557
5a0c036857cee70001767a208,,,,,,,65,testing_3,zh2j,ei,zh2j_ei,zh2j_1_eizhei.wav,zh2j_1_eizhei.wav,,TRUE,FALSE,,,f,0.4179
5a0c036857cee70001767a209,,,,,,,47,testing_3,zh2sh,i,zh2sh_i,zh2sh_1_izhi.wav,zh2sh_8_ishi.wav,,FALSE,FALSE,,,j,0.0674
5a0c036857cee70001767a210,,,,,,,64,testing_3,zh2j,e,zh2j_e,zh2j_8_eje.wav,zh2j_1_ezhe.wav,,FALSE,FALSE,,,f,0.1717
5a0c036857cee70001767a211,,,,,,,9,testing_1,zh2x,i,zh2x_i,zh2x_1_izhi.wav,zh2x_1_izhi_copy.wav,,TRUE,TRUE,,,f,0.2045
5a0c036857cee70001767a212,,,,,,,53,testing_3,zh2j,ai,zh2j_ai,zh2j_1_aizhai.wav,zh2j_1_aizhai.wav,,TRUE,FALSE,,,f,0.3676
5a0c036857cee70001767a213,,,,,,,133,testing_3,sh2j,e,sh2j_e,sh2j_1_eshe.wav,sh2j_1_eshe.wav,,TRUE,FALSE,,,f,0.1036
5a0c036857cee70001767a214,,,,,,,52,testing_3,zh2j,a,zh2j_a,zh2j_8_aja.wav,zh2j_1_azha.wav,,FALSE,FALSE,,,f,1.1935
5a0c036857cee70001767a215,,,,,,,48,testing_3,zh2sh,i,zh2sh_i,zh2sh_8_ishi.wav,zh2sh_1_izhi.wav,,FALSE,FALSE,,,j,0.4722
5a0c036857cee70001767a216,,,,,,,142,testing_3,sh2j,i,sh2j_i,sh2j_8_iji.wav,sh2j_8_iji.wav,,TRUE,FALSE,,,f,0.3387
5a0c036857cee70001767a217,,,,,,,66,testing_3,zh2j,ei,zh2j_ei,zh2j_8_eijei.wav,zh2j_8_eijei.wav,,TRUE,FALSE,,,f,0.4079
5a0c036857cee70001767a218,,,,,,,74,testing_3,j2x,a,j2x_a,j2x_8_axa.wav,j2x_8_axa.wav,,TRUE,FALSE,,,f,0.2753
